Heart Rate,altitude,cadence,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,power,speed,timestamp
126,127,0,0,127,1,126,0,0,150,1,7/20/2021 21:11
134,126,1,1,126,1,134,0,107,150,1,7/20/2021 21:11
142,125,2,2,125,1,142,0,214,150,1,7/20/2021 21:11
150,124,3,3,124,1,150,0,322,150,1,7/20/2021 21:11
158,123,4,4,123,1,158,0,429,150,1,7/20/2021 21:11
166,122,5,5,122,1,166,0,536,150,1,7/20/2021 21:11
173,121,6,6,121,1,173,0,643,150,1,7/20/2021 21:11
181,120,7,7,120,1,181,0,750,150,1,7/20/2021 21:11
188,119,8,8,119,1,188,0,857,150,1,7/20/2021 21:11
195,118,9,9,118,1,195,0,965,150,1,7/20/2021 21:11
201,117,10,10,117,1,201,0,1072,150,1,7/20/2021 21:11
207,116,11,11,116,1,207,0,1179,150,1,7/20/2021 21:11
213,115,12,12,115,1,213,0,1286,150,1,7/20/2021 21:11
219,114,13,13,114,1,219,0,1393,150,1,7/20/2021 21:11
224,113,14,14,113,1,224,0,1500,150,1,7/20/2021 21:11
229,112,15,15,112,1,229,0,1608,150,1,7/20/2021 21:11
234,111,16,16,111,1,234,0,1715,150,1,7/20/2021 21:11
238,110,17,17,110,1,238,0,1822,150,1,7/20/2021 21:11
241,109,18,18,109,1,241,0,1929,150,1,7/20/2021 21:11
245,108,19,19,108,1,245,0,2036,150,1,7/20/2021 21:11
247,107,20,20,107,1,247,0,2143,150,1,7/20/2021 21:11
250,106,21,21,106,1,250,0,2251,150,1,7/20/2021 21:11
251,105,22,22,105,1,251,0,2358,150,1,7/20/2021 21:11
252,104,23,23,104,1,252,0,2465,150,1,7/20/2021 21:11
253,103,24,24,103,1,253,0,2572,150,1,7/20/2021 21:11
254,102,25,25,102,1,254,0,2679,150,1,7/20/2021 21:11
253,101,26,26,101,1,253,0,2786,150,1,7/20/2021 21:11
252,100,27,27,100,1,252,0,2894,150,1,7/20/2021 21:11
251,99,28,28,99,1,251,0,3001,150,1,7/20/2021 21:11
250,98,29,29,98,1,250,0,3108,150,1,7/20/2021 21:11
247,97,30,30,97,1,247,0,3215,150,1,7/20/2021 21:11
245,96,31,31,96,1,245,0,3322,150,1,7/20/2021 21:11
241,95,32,32,95,1,241,0,3430,150,1,7/20/2021 21:11
238,94,33,33,94,1,238,0,3537,150,1,7/20/2021 21:11
234,93,34,34,93,1,234,0,3644,150,1,7/20/2021 21:11
229,92,35,35,92,1,229,0,3751,150,1,7/20/2021 21:11
224,91,36,36,91,1,224,0,3858,150,1,7/20/2021 21:11
219,90,37,37,90,1,219,0,3965,150,1,7/20/2021 21:11
213,89,38,38,89,1,213,0,4073,150,1,7/20/2021 21:11
207,88,39,39,88,1,207,0,4180,150,1,7/20/2021 21:11
201,87,40,40,87,1,201,0,4287,150,1,7/20/2021 21:12
195,86,41,41,86,1,195,0,4394,150,1,7/20/2021 21:12
188,85,42,42,85,1,188,0,4501,150,1,7/20/2021 21:12
181,84,43,43,84,1,181,0,4608,150,1,7/20/2021 21:12
173,83,44,44,83,1,173,0,4716,150,1,7/20/2021 21:12
166,82,45,45,82,1,166,0,4823,150,1,7/20/2021 21:12
158,81,46,46,81,1,158,0,4930,150,1,7/20/2021 21:12
150,80,47,47,80,1,150,0,5037,150,1,7/20/2021 21:12
142,79,48,48,79,1,142,0,5144,150,1,7/20/2021 21:12
134,78,49,49,78,1,134,0,5251,150,1,7/20/2021 21:12
126,77,50,50,77,1,126,0,5359,150,1,7/20/2021 21:12
119,76,51,51,76,1,119,0,5466,150,1,7/20/2021 21:12
111,75,52,52,75,1,111,0,5573,150,1,7/20/2021 21:12
103,74,53,53,74,1,103,0,5680,150,1,7/20/2021 21:12
95,73,54,54,73,1,95,0,5787,150,1,7/20/2021 21:12
87,72,55,55,72,1,87,0,5895,150,1,7/20/2021 21:12
80,71,56,56,71,1,80,0,6002,150,1,7/20/2021 21:12
72,70,57,57,70,1,72,0,6109,150,1,7/20/2021 21:12
65,69,58,58,69,1,65,0,6216,150,1,7/20/2021 21:12
58,68,59,59,68,1,58,0,6323,150,1,7/20/2021 21:12
52,67,60,60,67,1,52,0,6430,150,1,7/20/2021 21:12
46,66,61,61,66,1,46,0,6538,150,1,7/20/2021 21:12
40,65,62,62,65,1,40,0,6645,150,1,7/20/2021 21:12
34,64,63,63,64,1,34,0,6752,150,1,7/20/2021 21:12
29,63,64,64,63,1,29,0,6859,150,1,7/20/2021 21:12
24,62,65,65,62,1,24,0,6966,150,1,7/20/2021 21:12
19,61,66,66,61,1,19,0,7073,150,1,7/20/2021 21:12
15,60,67,67,60,1,15,0,7181,150,1,7/20/2021 21:12
12,59,68,68,59,1,12,0,7288,150,1,7/20/2021 21:12
8,58,69,69,58,1,8,0,7395,150,1,7/20/2021 21:12
6,57,70,70,57,1,6,0,7502,150,1,7/20/2021 21:12
3,56,71,71,56,1,3,0,7609,150,1,7/20/2021 21:12
2,55,72,72,55,1,2,0,7716,150,1,7/20/2021 21:12
1,54,73,73,54,1,1,0,7824,150,1,7/20/2021 21:12
0,53,74,74,53,1,0,0,7931,150,1,7/20/2021 21:12
0,52,75,75,52,1,0,0,8038,150,1,7/20/2021 21:12
0,51,76,76,51,1,0,0,8145,150,1,7/20/2021 21:12
1,50,77,77,50,1,1,0,8252,150,1,7/20/2021 21:12
2,49,78,78,49,1,2,0,8359,150,1,7/20/2021 21:12
3,48,79,79,48,1,3,0,8467,150,1,7/20/2021 21:12
6,47,80,80,47,1,6,0,8574,150,1,7/20/2021 21:12
8,46,81,81,46,1,8,0,8681,150,1,7/20/2021 21:12
12,45,82,82,45,1,12,0,8788,150,1,7/20/2021 21:12
15,44,83,83,44,1,15,0,8895,150,1,7/20/2021 21:12
19,43,84,84,43,1,19,0,9003,150,1,7/20/2021 21:12
24,42,85,85,42,1,24,0,9110,150,1,7/20/2021 21:12
29,41,86,86,41,1,29,0,9217,150,1,7/20/2021 21:12
34,40,87,87,40,1,34,0,9324,150,1,7/20/2021 21:12
40,39,88,88,39,1,40,0,9431,150,1,7/20/2021 21:12
46,38,89,89,38,1,46,0,9538,150,1,7/20/2021 21:12
52,37,90,90,37,1,52,0,9646,150,1,7/20/2021 21:12
58,36,91,91,36,1,58,0,9753,150,1,7/20/2021 21:12
65,35,92,92,35,1,65,0,9860,150,1,7/20/2021 21:12
72,34,93,93,34,1,72,0,9967,150,1,7/20/2021 21:12
80,33,94,94,33,1,80,0,10074,150,1,7/20/2021 21:12
87,32,95,95,32,1,87,0,10181,150,1,7/20/2021 21:12
95,31,96,96,31,1,95,0,10289,150,1,7/20/2021 21:12
103,30,97,97,30,1,103,0,10396,150,1,7/20/2021 21:12
111,29,98,98,29,1,111,0,10503,150,1,7/20/2021 21:12
119,28,99,99,28,1,119,0,10610,150,1,7/20/2021 21:12
126,27,100,100,27,1,126,0,10717,150,1,7/20/2021 21:13
134,26,101,101,26,1,134,0,10824,150,1,7/20/2021 21:13
142,25,102,102,25,1,142,0,10932,150,1,7/20/2021 21:13
150,24,103,103,24,1,150,0,11039,150,1,7/20/2021 21:13
158,23,104,104,23,1,158,0,11146,150,1,7/20/2021 21:13
166,22,105,105,22,1,166,0,11253,150,1,7/20/2021 21:13
173,21,106,106,21,1,173,0,11360,150,1,7/20/2021 21:13
181,20,107,107,20,1,181,0,11468,150,1,7/20/2021 21:13
188,19,108,108,19,1,188,0,11575,150,1,7/20/2021 21:13
195,18,109,109,18,1,195,0,11682,150,1,7/20/2021 21:13
201,17,110,110,17,1,201,0,11789,150,1,7/20/2021 21:13
207,16,111,111,16,1,207,0,11896,150,1,7/20/2021 21:13
213,15,112,112,15,1,213,0,12003,150,1,7/20/2021 21:13
219,14,113,113,14,1,219,0,12111,150,1,7/20/2021 21:13
224,13,114,114,13,1,224,0,12218,150,1,7/20/2021 21:13
229,12,115,115,12,1,229,0,12325,150,1,7/20/2021 21:13
234,11,116,116,11,1,234,0,12432,150,1,7/20/2021 21:13
238,10,117,117,10,1,238,0,12539,150,1,7/20/2021 21:13
241,9,118,118,9,1,241,0,12646,150,1,7/20/2021 21:13
245,8,119,119,8,1,245,0,12754,150,1,7/20/2021 21:13
247,7,120,120,7,1,247,0,12861,150,1,7/20/2021 21:13
250,6,121,121,6,1,250,0,12968,150,1,7/20/2021 21:13
251,5,122,122,5,1,251,0,13075,150,1,7/20/2021 21:13
252,4,123,123,4,1,252,0,13182,150,1,7/20/2021 21:13
253,3,124,124,3,1,253,0,13289,150,1,7/20/2021 21:13
254,2,125,125,2,1,254,0,13397,150,1,7/20/2021 21:13
253,1,126,126,1,1,253,0,13504,150,1,7/20/2021 21:13
252,0,127,127,0,1,252,0,13611,250,1,7/20/2021 21:13
251,1,128,128,1,1,251,0,13718,250,1,7/20/2021 21:13
250,2,129,129,2,1,250,0,13825,250,1,7/20/2021 21:13
247,3,130,130,3,1,247,0,13932,250,1,7/20/2021 21:13
245,4,131,131,4,1,245,0,14040,250,1,7/20/2021 21:13
241,5,132,132,5,1,241,0,14147,250,1,7/20/2021 21:13
238,6,133,133,6,1,238,0,14254,250,1,7/20/2021 21:13
234,7,134,134,7,1,234,0,14361,250,1,7/20/2021 21:13
229,8,135,135,8,1,229,0,14468,250,1,7/20/2021 21:13
224,9,136,136,9,1,224,0,14576,250,1,7/20/2021 21:13
219,10,137,137,10,1,219,0,14683,250,1,7/20/2021 21:13
213,11,138,138,11,1,213,0,14790,250,1,7/20/2021 21:13
207,12,139,139,12,1,207,0,14897,250,1,7/20/2021 21:13
201,13,140,140,13,1,201,0,15004,250,1,7/20/2021 21:13
195,14,141,141,14,1,195,0,15111,250,1,7/20/2021 21:13
188,15,142,142,15,1,188,0,15219,250,1,7/20/2021 21:13
181,16,143,143,16,1,181,0,15326,250,1,7/20/2021 21:13
173,17,144,144,17,1,173,0,15433,250,1,7/20/2021 21:13
166,18,145,145,18,1,166,0,15540,250,1,7/20/2021 21:13
158,19,146,146,19,1,158,0,15647,250,1,7/20/2021 21:13
150,20,147,147,20,1,150,0,15754,250,1,7/20/2021 21:13
142,21,148,148,21,1,142,0,15862,250,1,7/20/2021 21:13
134,22,149,149,22,1,134,0,15969,250,1,7/20/2021 21:13
127,23,150,150,23,1,127,0,16076,250,1,7/20/2021 21:13
119,24,151,151,24,1,119,0,16183,250,1,7/20/2021 21:13
